operator,count_in_subsuming,min_set_size,min_individuals
EQ2LE,0,,
S2M,0,,
C2D,30,14,49
GT2NE,18,14,52
LT2GT,8,14,49
GT2LE,3,15,53
GT2EQ,0,,
NE2EQ,0,,
NE2LE,0,,
NE2LT,0,,
A2S,30,14,49
E2F,0,,
GT2LT,3,15,53
CSWAP,10,15,50
NOT,30,14,49
EQ2NE,0,,
F2E,0,,
LT2EQ,0,,
LT2GE,0,,
LE2NE,30,14,49
LE2GT,30,14,49
EQ2LT,0,,
LT2NE,30,14,49
S2A,30,14,49
NE2GT,8,14,49
S2DV,0,,
LE2EQ,30,14,49
LE2LT,30,14,49
A2M,30,14,49
A2DV,30,14,49
LE2GE,30,14,49
EQ2GT,0,,
D2C,30,14,49
LT2LE,0,,
