operator,subsuming,subsumed,duplicated,alive
EQ2LE,0,0,0,1
S2M,0,0,0,1
C2D,1,0,0,1
GT2NE,1,0,2,1
NOT,0,0,0,8
GT2LT,1,1,2,0
CSWAP,0,0,1,0
GT2LE,0,0,4,0
LT2EQ,0,0,1,0
LT2GE,0,0,1,0
LT2LE,0,0,1,0
F2E,3,0,1,0
E2F,0,0,1,0
NE2GT,0,0,1,0
LT2GT,0,0,1,0
GT2EQ,0,1,3,0
NE2EQ,0,0,1,0
NE2LE,0,0,1,0
NE2LT,0,0,1,0
EQ2GT,0,0,1,0
EQ2NE,0,0,1,0
LE2NE,3,0,1,0
LE2GT,2,1,1,0
EQ2LT,0,0,1,0
D2C,1,0,0,0
LE2EQ,3,1,0,0
A2M,3,2,0,0
LE2GE,3,1,0,0
A2DV,2,3,0,0
LT2NE,1,0,0,0
S2A,1,0,0,0
A2S,4,1,0,0
S2DV,0,1,0,0
LE2LT,3,1,0,0
